"method","f","Tt","R","rmse_mean","rmse_sd","mae_mean","mae_sd","coverage","coverage_se","coverage_wilson_lower","coverage_wilson_upper","width_mean","ess_sec_theta1_mean","ess_sec_theta1_sd","ess_sec_theta_01_mean","elapsed_time_mean"
"sir_laplace","sinusoidal",400,200,0.100808152324808,0.018110352127026,0.0802533183982088,0.0145185771593018,0.9894625,0.00722027045675921,0.963458260783137,0.997018578092997,0.51044604893822,1756.22015324613,80.767950836656,905.84821797209,3.942015
"sir_laplace","sinusoidal",800,200,0.0927104207241334,0.0143558115047468,0.0732204549229829,0.0111844459159395,0.98973125,0.00712857025406832,0.963867565996538,0.997136643516669,0.468619996918443,901.131021497629,23.3590853657049,456.776768368529,7.81178
"stan","constant",1600,200,0.1243867250293,0.00706641793256827,0.0867969126485386,0.00716174308396523,0.9583875,0.0141210657961342,0.921005489109051,0.97849258680143,0.47110969347167,2.17786807243802,0.128843729660328,2.09922693840499,5626.933965
"stan","constant",200,200,0.207973538447425,0.0199084547616328,0.151491654904423,0.0185383801428221,0.91545,0.0196724804612941,0.868634166497302,0.946607251815827,0.709825483238439,26.5689908161177,4.65368267948391,25.8441717240655,310.12796
"stan","constant",400,200,0.176138556897485,0.0154657194402562,0.125428752875434,0.0146045908376154,0.929175,0.0181395726761961,0.884953921279536,0.957220192824537,0.613839267611833,13.7416269786459,1.79926971972303,13.0557829577112,714.60298
"stan","constant",800,200,0.147401967381851,0.0109325080521682,0.102842024927522,0.0103010617636611,0.94455,0.0161825982926105,0.903657463356853,0.968687156961119,0.535316842841891,5.21359251088449,1.02921655266091,4.710577497476,1992.605245
"stan","linear",1600,200,0.0838670606945316,0.00901273008810491,0.0668855803031337,0.00738038317110951,0.9900875,0.00700508470460921,0.964412246668698,0.997291035549465,0.423991263392819,2.13185438991748,0.247265625861952,1.96240068794187,5794.00665
"stan","linear",200,200,0.114583596271467,0.0244872515074051,0.0913497394104046,0.0198401524101813,0.986575,0.00813780356576639,0.959138295271927,0.995672375364036,0.570797469701841,30.4897626229977,3.81544289546704,27.025912197417,307.013905
"stan","linear",400,200,0.102011705167382,0.0177363003233627,0.0811467830578916,0.014317130340313,0.987775,0.00777031189045847,0.960917340553268,0.99624810129939,0.508560572900376,13.5023402435346,2.62639708286093,11.9180078785015,797.17877
"stan","linear",800,200,0.0912791089787706,0.0129423039807513,0.0724367789102759,0.0103999505626559,0.99030625,0.00692812428112308,0.964747927338061,0.997384610049812,0.463373646578766,4.82726449329842,0.553826081809805,4.38665568758088,2333.398875
"stan","quadratic",1600,200,0.0854606893076809,0.00949103870135823,0.0680649546725214,0.00788779016704175,0.989925,0.00706169044032657,0.964163492445084,0.997220914504151,0.430822413797704,2.07604134374319,0.277797498779666,1.93831707457124,5857.307915
"stan","quadratic",200,200,0.121592030232764,0.0253331892352482,0.096869260446277,0.020854254551091,0.9846,0.00870713500527009,0.956254272368125,0.994680837307028,0.592619822202991,30.703151581254,3.59350684580708,26.2982505707957,293.99229
"stan","quadratic",400,200,0.104519299384269,0.0188571230127904,0.0831065941079316,0.0152090479247867,0.98765,0.0078094422015916,0.960731000566866,0.996189152617386,0.51981601392128,13.1667814459503,2.58091693869631,11.8260303447326,806.9297
"stan","quadratic",800,200,0.0932480407626239,0.0132661718118281,0.0738105254595982,0.0106678290826467,0.98963125,0.00716283429357316,0.963715108600107,0.997092869978375,0.471147670445287,4.7876780710982,0.602035362371904,4.43958976949732,2353.89568
"stan","sinusoidal",1600,200,0.0863420167209889,0.00937763000921664,0.0683364423259766,0.00750799088990801,0.98973125,0.00712857025406832,0.963867565996538,0.997136643516669,0.430227609378409,2.08950654122232,0.231476953329714,2.04127221470865,5795.957645
"stan","sinusoidal",200,200,0.107841579314536,0.025734103865288,0.0858186404808749,0.0202740328253817,0.9902,0.00696561555068898,0.964584763938726,0.997339278081002,0.560668818048865,31.3340542132058,3.49364740645826,28.6253240819757,303.317535
"stan","sinusoidal",400,200,0.10112549144276,0.0182831634668123,0.0804937660355052,0.0146419986728881,0.989725,0.00713071678549921,0.963858031883814,0.997133913195972,0.511235125390191,12.5909957876378,2.32341169896176,11.720138383871,831.521335
"stan","sinusoidal",800,200,0.0930752836317643,0.0144167164897365,0.0734591401478436,0.0112201261614312,0.98963125,0.00716283429357316,0.963715108600107,0.997092869978375,0.469598416302452,4.67372607747163,0.475578927787875,4.48883954420129,2336.82223
