"f","Tt","method","replica","elapsed_time","ess_theta_01","ess_theta_02","ess_W1","ess_W2","ess_theta1_mean","ess_theta1_min","ess_theta2_mean","ess_theta2_min","ess_sec_theta_01","ess_sec_theta_02","ess_sec_W1","ess_sec_W2","ess_sec_theta1_mean","ess_sec_theta2_mean","W1_mean","W1_median","W1_var","W1_ci_lower","W1_ci_upper","W2_mean","W2_median","W2_var","W2_ci_lower","W2_ci_upper","log_lik","rmse_theta1","mae_theta1","coverage_rate_theta1","theta1_ci_width_mean"
"constant",1600,"montoril",119,79.768,102.934708679452,519.817800554175,71.422910922855,937.750936975709,182.996481269123,16.5995544592548,2076.51969309071,45.5396000244344,1.29042609416624,6.51662070697742,0.895382997227647,11.7559790514456,2.29410893176615,26.0319889315353,0.00220868626209842,0.00208520598548563,4.5504325815822e-07,0.00113787611681484,0.00361021978738227,8.92749116365702e-06,8.57208228450583e-06,5.64251611534322e-12,4.87836634894561e-06,1.37306692993852e-05,-3154.62222755118,0.123528062732556,0.0834724612364388,0.948125,0.461901588646284
"constant",1600,"montoril",11,80.16,93.0384905878784,346.659606850605,106.500418476425,682.931268100911,173.285460803946,29.2956723121385,1806.9342285638,160.941599706461,1.16065981272303,4.32459589384487,1.32859803488554,8.51960164796545,2.16174477050831,22.5415946677121,0.00214827895537814,0.00205320030829002,3.97867060625272e-07,0.00102630956205882,0.0034316626570563,9.43502999125454e-06,9.02533608270288e-06,6.64159428705526e-12,5.19923487123388e-06,1.46838486155592e-05,-3190.60457721493,0.117158354910789,0.0814853273400172,0.968125,0.465120096848919
"constant",1600,"montoril",120,79.784,196.520686989597,925.311868584778,103.155862396775,773.15046366331,205.4854824031,41.7284289308358,2345.69604635539,289.727760886047,2.46315911698582,11.5977121801963,1.29293921584246,9.69054526801502,2.57552244062845,29.4005821512508,0.00245689620557142,0.00236316769434353,5.34577639296809e-07,0.00119074709386024,0.0039172925017454,9.38953319632246e-06,9.02448585292432e-06,6.41647917772078e-12,5.07933765089793e-06,1.44541371724464e-05,-3177.96037061661,0.121391758939344,0.0816518099340091,0.9475,0.477209866905277
"constant",1600,"montoril",121,79.728,93.3256785632108,354.730155584242,106.632786313339,562.633324484358,195.006743406272,20.7979408788081,2202.40755327202,130.383851070361,1.17055085494695,4.44925440979633,1.3374571833401,7.05691005022524,2.44590035378126,27.6240160705401,0.00235620150144968,0.00226543296405866,4.60530221761498e-07,0.00120968652595216,0.0037138194209498,9.36223167292389e-06,9.03935656746128e-06,6.03526278922632e-12,5.12404422578554e-06,1.42431748321701e-05,-3181.17653643845,0.127921577209723,0.0912896819720029,0.9425,0.468080057153008
"constant",1600,"montoril",122,79.65,123.192280293179,515.279646113626,34.8004334542401,594.28762022149,219.678461820648,24.6918537142108,2651.91119489174,384.497652881314,1.54667018572729,6.46929875848871,0.436916929745639,7.46123816976133,2.75804722938667,33.2945536081826,0.00270954556351215,0.00258451939718593,8.3292237306512e-07,0.00110252173246266,0.00450203708440154,9.82379904757772e-06,9.43919589667348e-06,6.95380400012289e-12,5.23691728280407e-06,1.51579706059797e-05,-3195.21582261134,0.121580809283629,0.0892657979014158,0.964375,0.48500568942635
"constant",1600,"montoril",123,82.262,101.77834544934,280.924484982201,69.4449326288158,555.12492503896,173.160743874124,14.3741620134388,1635.74509034594,112.449075248187,1.23724618231188,3.41499702149475,0.844192125511364,6.74825466240743,2.10499068675845,19.8845772087469,0.002151334509459,0.00204475482496423,4.91603870632683e-07,0.000954852791125797,0.00352237599819484,1.01263420199514e-05,9.69941490272498e-06,7.80219795998428e-12,5.41074440674689e-06,1.55484171842067e-05,-3122.87313226277,0.120532650159561,0.0846674492993407,0.955,0.46901612561286
"constant",1600,"montoril",124,79.219,84.6451153167039,327.612758220957,61.2203873716638,780.828570247305,134.835836517514,10.8609649466311,1178.8093293928,133.077540709762,1.06849512511776,4.13553261491508,0.77279929526583,9.85658200996359,1.70206435978129,14.8803863895379,0.00169874582390288,0.00160710157727939,2.8944984785989e-07,0.000799606515490642,0.00275866702882217,8.39672512313177e-06,8.10841062609567e-06,4.11414378729251e-12,4.86889738085333e-06,1.25198387953304e-05,-3140.94423235655,0.127008775939001,0.0874839907092832,0.9225,0.447900415697318
"constant",1600,"montoril",125,79.86,94.0693263300486,317.89758208248,106.555954982103,670.654530021718,150.898773221416,5.0572895963505,1438.56479457754,59.2071594066408,1.17792795304343,3.98068597648985,1.33428443503761,8.3978779116168,1.88954136265234,18.0135837037007,0.00180654560764808,0.00174637430226358,2.52740193809113e-07,0.000929860522446037,0.00278613892408892,8.79134498410497e-06,8.47965615073216e-06,5.04405762989755e-12,4.99175901095974e-06,1.32859675006389e-05,-3153.18604743543,0.122216628268923,0.0825271904245088,0.95125,0.448036632298123
"constant",1600,"montoril",126,79.173,116.189093546343,500.791288142821,106.679622942366,708.23316571148,166.832807198,38.9477386660757,1587.51167861435,141.365202288628,1.46753430520939,6.32527867003677,1.34742428532916,8.94538751482804,2.10719319967666,20.0511750042862,0.00195671226897768,0.00188490645233181,3.42577478995824e-07,0.000942613413162512,0.00309441109898927,9.1305346645585e-06,8.81301463358338e-06,5.49778320487251e-12,5.04695474770592e-06,1.38011162928231e-05,-3146.1902546869,0.119065035806656,0.0818857693070719,0.95875,0.455636330589605
"constant",1600,"montoril",127,82.395,55.0008459490529,265.026280791234,126.940121999257,716.080706661772,154.333574471601,9.79302736367793,1532.6152095007,181.661177106454,0.667526499776114,3.21653353712281,1.54062894592216,8.69082719414737,1.87309393132594,18.6008278354354,0.00189116439840066,0.00183943495783432,2.88515260302352e-07,0.000946301807000227,0.00292967037994939,8.66378858545461e-06,8.32827561947641e-06,4.84040787852053e-12,4.89879368251108e-06,1.30720013791003e-05,-3170.58223857425,0.128160896165109,0.0871794658205098,0.95,0.451471536315535
