"method","f","Tt","replica","rmse_lambda1"
"sir_laplace","linear",200,3,0.609205271456627
"sir_collapsed","linear",200,3,0.614887970091086
"stan","linear",200,3,0.604133010397563
"montoril","quadratic",200,3,0.594170719582174
"pg_apf","quadratic",200,3,0.591393567563724
"sir_laplace","quadratic",200,3,0.599392335690851
"sir_collapsed","quadratic",200,3,0.607107511228374
"stan","quadratic",200,3,0.594617352046722
"montoril","sinusoidal",200,3,0.567781656754936
"pg_apf","sinusoidal",200,3,0.563179368327064
"sir_laplace","sinusoidal",200,3,0.570958058084968
"sir_collapsed","sinusoidal",200,3,0.572117067375673
"stan","sinusoidal",200,3,0.56432065679732
"montoril","constant",400,3,0.708996493358333
"pg_apf","constant",400,3,0.715472121465494
"sir_laplace","constant",400,3,0.70984161638867
"sir_collapsed","constant",400,3,0.711077823570484
"stan","constant",400,3,0.711451012450865
"montoril","linear",400,3,0.347527010571641
"pg_apf","linear",400,3,0.349789465049849
"sir_laplace","linear",400,3,0.352300165964338
"sir_collapsed","linear",400,3,0.355344399927386
"stan","linear",400,3,0.35105968846547
"montoril","quadratic",400,3,0.35482045194193
"pg_apf","quadratic",400,3,0.347265809890384
"sir_laplace","quadratic",400,3,0.349454645244838
"sir_collapsed","quadratic",400,3,0.352551462030381
"stan","quadratic",400,3,0.348239620787663
"montoril","sinusoidal",400,3,0.393220828242357
"pg_apf","sinusoidal",400,3,0.391926179070522
"sir_laplace","sinusoidal",400,3,0.39117826028324
"sir_collapsed","sinusoidal",400,3,0.406724354118061
"stan","sinusoidal",400,3,0.401465463118533
"montoril","constant",800,3,0.558193506955337
"pg_apf","constant",800,3,0.55476010375634
"sir_laplace","constant",800,3,0.554253724725985
"sir_collapsed","constant",800,3,0.553122257743736
"stan","constant",800,3,0.555522073719461
"montoril","linear",800,3,0.382879081338619
"pg_apf","linear",800,3,0.369195361076524
"sir_laplace","linear",800,3,0.367517499085481
"sir_collapsed","linear",800,3,0.36857516540314
"stan","linear",800,3,0.370223011829717
"montoril","quadratic",800,3,0.399610326254384
"pg_apf","quadratic",800,3,0.401105494116733
"sir_laplace","quadratic",800,3,0.399481434664814
"sir_collapsed","quadratic",800,3,0.398474536908055
"stan","quadratic",800,3,0.403549828137787
"montoril","sinusoidal",800,3,0.412825552151299
"pg_apf","sinusoidal",800,3,0.407146084480044
"sir_laplace","sinusoidal",800,3,0.40731660833158
"sir_collapsed","sinusoidal",800,3,0.40732205244443
"stan","sinusoidal",800,3,0.409283557494809
"montoril","constant",1600,3,0.45477190076772
"pg_apf","constant",1600,3,0.455709642456117
"sir_laplace","constant",1600,3,0.453726653406923
"sir_collapsed","constant",1600,3,0.455472573040399
"stan","constant",1600,3,0.455265919752301
"montoril","linear",1600,3,0.317458593468384
"pg_apf","linear",1600,3,0.30117045931299
"sir_laplace","linear",1600,3,0.303609656487868
"sir_collapsed","linear",1600,3,0.304929912575401
"stan","linear",1600,3,0.30390029971094
"montoril","quadratic",1600,3,0.302578764611217
"pg_apf","quadratic",1600,3,0.301041783076236
"sir_laplace","quadratic",1600,3,0.301425264725934
"sir_collapsed","quadratic",1600,3,0.305620461579909
"stan","quadratic",1600,3,0.302477604710311
"montoril","sinusoidal",1600,3,0.316663894836648
"pg_apf","sinusoidal",1600,3,0.312052629763742
"sir_laplace","sinusoidal",1600,3,0.312827699801126
"sir_collapsed","sinusoidal",1600,3,0.317426036888345
"stan","sinusoidal",1600,3,0.316943520915076
"montoril","constant",200,4,0.924675880441297
"pg_apf","constant",200,4,0.924392193908469
"sir_laplace","constant",200,4,0.924946889004251
"sir_collapsed","constant",200,4,0.925701908732348
"stan","constant",200,4,0.921127273459635
"montoril","linear",200,4,0.510365745356209
"pg_apf","linear",200,4,0.51276336390573
"sir_laplace","linear",200,4,0.506498782818473
"sir_collapsed","linear",200,4,0.520379457808675
"stan","linear",200,4,0.511185605076326
"montoril","quadratic",200,4,0.505733540911103
"pg_apf","quadratic",200,4,0.507504512443124
"sir_laplace","quadratic",200,4,0.508372125969136
"sir_collapsed","quadratic",200,4,0.518810709473834
"stan","quadratic",200,4,0.502184960600617
"montoril","sinusoidal",200,4,0.435068351439909
"pg_apf","sinusoidal",200,4,0.435179202070274
"sir_laplace","sinusoidal",200,4,0.453813950046663
"sir_collapsed","sinusoidal",200,4,0.459672398734226
"stan","sinusoidal",200,4,0.440087158971539
"montoril","constant",400,4,0.616472928515837
"pg_apf","constant",400,4,0.616463068511211
"sir_laplace","constant",400,4,0.611098801274385
"sir_collapsed","constant",400,4,0.60819149001682
"stan","constant",400,4,0.615269108487652
"montoril","linear",400,4,0.291264482406039
"pg_apf","linear",400,4,0.286549940826816
"sir_laplace","linear",400,4,0.288465627029372
"sir_collapsed","linear",400,4,0.288295311560788
"stan","linear",400,4,0.284083460596372
"montoril","quadratic",400,4,0.274569488639025
"pg_apf","quadratic",400,4,0.276761411550332
"sir_laplace","quadratic",400,4,0.27623594623907
"sir_collapsed","quadratic",400,4,0.279581367747778
"stan","quadratic",400,4,0.278989494718685
"montoril","sinusoidal",400,4,0.312715563943111
"pg_apf","sinusoidal",400,4,0.297510089817614
"sir_laplace","sinusoidal",400,4,0.297517197195994
"sir_collapsed","sinusoidal",400,4,0.301558351758944
"stan","sinusoidal",400,4,0.295206487848248
"montoril","constant",800,4,0.611346054745149
"pg_apf","constant",800,4,0.605131133539836
"sir_laplace","constant",800,4,0.608046239927619
"sir_collapsed","constant",800,4,0.612272736163285
"stan","constant",800,4,0.608673896243386
"montoril","linear",800,4,0.366645716600484
"pg_apf","linear",800,4,0.372274022173394
"sir_laplace","linear",800,4,0.377561562457372
"sir_collapsed","linear",800,4,0.378020503045184
"stan","linear",800,4,0.371458873111497
"montoril","quadratic",800,4,0.378262808393053
"pg_apf","quadratic",800,4,0.372300280116446
"sir_laplace","quadratic",800,4,0.377590633738241
"sir_collapsed","quadratic",800,4,0.383255897483955
"stan","quadratic",800,4,0.373360784648597
"montoril","sinusoidal",800,4,0.402483820171168
"pg_apf","sinusoidal",800,4,0.400935126400281
"sir_laplace","sinusoidal",800,4,0.40536712561663
"sir_collapsed","sinusoidal",800,4,0.411618567862736
"stan","sinusoidal",800,4,0.407492436681999
"montoril","constant",1600,4,0.519789460092201
"pg_apf","constant",1600,4,0.52406083718311
"sir_laplace","constant",1600,4,0.521154059071793
"sir_collapsed","constant",1600,4,0.521608563718137
"stan","constant",1600,4,0.523343273197971
"montoril","linear",1600,4,0.339431065301897
"pg_apf","linear",1600,4,0.343600705111954
"sir_laplace","linear",1600,4,0.346415953748833
"sir_collapsed","linear",1600,4,0.34403070783597
"stan","linear",1600,4,0.34605758888593
"montoril","quadratic",1600,4,0.336552825894502
"pg_apf","quadratic",1600,4,0.327074468707042
"sir_laplace","quadratic",1600,4,0.329854140956332
"sir_collapsed","quadratic",1600,4,0.328389032506507
"stan","quadratic",1600,4,0.329676904086463
"montoril","sinusoidal",1600,4,0.348615466169494
"pg_apf","sinusoidal",1600,4,0.352748791376304
"sir_laplace","sinusoidal",1600,4,0.353282834949281
"sir_collapsed","sinusoidal",1600,4,0.351017768638779
"stan","sinusoidal",1600,4,0.354377478981227
"montoril","constant",200,5,0.684740333983192
"pg_apf","constant",200,5,0.680479666951393
"sir_laplace","constant",200,5,0.682031761564537
"sir_collapsed","constant",200,5,0.740500945965173
"stan","constant",200,5,0.676267483359888
"montoril","linear",200,5,0.404799192702658
"pg_apf","linear",200,5,0.406580192856464
