"f","Tt","method","replica","elapsed_time","ess_theta_01","ess_theta_02","ess_W1","ess_W2","ess_theta1_mean","ess_theta2_mean","ess_sec_theta_01","ess_sec_theta_02","ess_sec_W1","ess_sec_W2","ess_sec_theta1_mean","ess_sec_theta2_mean","z_W1","z_W2","z_theta_01","z_theta_02","z_theta1_out","z_theta2_out","W1_mean","W1_median","W2_mean","W2_median","log_lik","rmse_theta1"
"quadratic",800,"sir_collapsed",1,66.9350000000002,5130.28736566907,4951.64023913208,2543.88607120458,5984.37418392757,7400.55840975382,7496.54051502974,76.645811095377,73.9768467786968,38.0053196564514,89.4057545966617,110.56335862783,111.997318518409,-2.62004893286695,-1.13593637369138,0.408048757367849,-0.692508634277318,0.07875,0.07375,0.00144986964071197,0.00139704881063567,1.0318562237737e-05,9.86668551819055e-06,-2110.34072367338,0.060338161135978
"quadratic",1600,"sir_collapsed",1,108.106,4273.65253822881,4264.03534331762,1808.42486316473,4540.75877427427,7077.88369376058,7140.07001368815,39.5320568537252,39.4430960660613,16.7282561852694,42.0028377173725,65.4717008654522,66.0469355418585,0.2630417898987,-0.0890831157043237,-0.340555510269164,0.833722656328938,0.04125,0.0475,0.000841492859285192,0.000819710456756793,5.53826791461045e-06,5.38616707494725e-06,-4211.13041467724,0.0564930860098416
"quadratic",200,"sir_laplace",1,14.5740000000001,5082.96585698178,5032.90616282751,303.55881323344,208.030383108054,7013.62483550338,6239.27937821661,348.769442636322,345.33457958196,20.828791905684,14.2740759645981,481.242269486987,428.110290806682,0.602213055540697,1.27092933775862,0.458499264914072,0.42960787954465,0.1,0.035,0.00332896890839386,0.00300780394387144,3.62850167488535e-05,3.16605056080497e-05,-537.510941653496,0.0568080653179681
"quadratic",400,"sir_laplace",1,17.0139999999999,4643.6770599804,4646.23404132507,224.813540377441,218.359230091211,7295.61619931129,7038.70748854769,272.932706005668,273.082992907318,13.2134442445893,12.8340913419074,428.800764036166,413.700922096376,-0.486508109165394,-0.756469502540205,-0.719962568243505,0.267701683668464,0.0425,0.015,0.0019066330574786,0.00178821064234217,1.66742855049049e-05,1.51437623173295e-05,-1053.70647363467,0.0621553806234623
"quadratic",800,"sir_laplace",1,24.1330000000003,5138.86297660613,4974.57116135424,139.794254431838,147.495562663583,7285.75051335947,7324.55465751225,212.939252335229,206.13148640261,5.79265961263982,6.11177900234457,301.899909392093,303.507838126721,1.06270559439642,1.80110938609896,-0.263668114093921,0.757194924364306,0.08875,0.05,0.00141401063955932,0.00135858366305973,1.0196216801724e-05,9.73017879054975e-06,-2110.91325594297,0.059540277085568
"quadratic",1600,"sir_laplace",1,35.9070000000002,4430.81121438665,4386.88635185626,118.604365083379,138.902115751352,7180.41612798476,7145.94353060219,123.396864521866,122.173569272182,3.30309870174,3.86838543324008,199.97259943701,199.012547152426,-0.563181047411069,-2.17291491089978,1.25908591559934,-1.40614656708266,0.044375,0.055625,0.000867747118229706,0.000833648664501747,5.57766938423868e-06,5.48152324234813e-06,-4210.42175656031,0.0567798795134097
"quadratic",200,"stan",1,116.021,11138.0559882776,9898.0854914032,394.028374736414,310.791383165315,10600.1048175121,7806.39384376045,96.000344664135,85.3128786288965,3.39618150797195,2.67875111544733,91.3636739686101,67.2843178714237,-1.63614785358248,1.74305011411588,2.25011432608538,-0.447720963094575,0.065,0.265,0.00324625275169212,0.00299676329263914,3.63142894665415e-05,3.20252435877428e-05,-537.698506842316,0.0563317195197784
"quadratic",400,"stan",1,424.521,10908.5071214447,10276.2820705114,293.900794062993,297.488792605564,10639.5592142033,9400.08266618658,25.6960365245646,24.2067696780876,0.692311555996037,0.700763431268569,25.0625038907458,22.1427978031395,0.273135531994753,0.0188819242694277,-0.103544773946842,0.427540006215482,0.045,0.0175,0.0018840506802086,0.00177657102206441,1.71474477901654e-05,1.59578620163084e-05,-1053.84923205969,0.0626898013189113
"quadratic",800,"stan",1,917.461,11155.9335433979,10991.7425366243,239.644063351835,206.440091144524,11551.9433424688,9906.59688463293,12.1595724977933,11.9806101148978,0.261203542550403,0.225012388695022,12.5912091549055,10.7978397824354,-0.701410606131507,0.909573350954384,0.453872375217659,-0.959571516169785,0.03125,0.07875,0.00146105658956976,0.00141732134905859,1.03550200405304e-05,9.90547868782137e-06,-2110.28683783915,0.0599113935574811
"quadratic",1600,"stan",1,2638.902,12118.2484098549,11561.7707201901,187.256171258287,188.052039070197,11975.0368115246,12069.8425258548,4.59215552902493,4.38128082065576,0.0709598807603645,0.07126147127487,4.53788614034346,4.57381233780369,-0.901060571182969,1.40979485599017,-0.79286698345417,0.732624802952132,0.064375,0.074375,0.000850130625384595,0.000827761179933301,5.689912696606e-06,5.53098048040324e-06,-4210.93901849265,0.0569043894489024
